Object.ID,Centroid.X.um,Centroid.Y.um,core
0001a474-9832-4318-bda8-3bb56df9c47a,282.17,618.06,N-12
0001d9f9-44ec-4711-b33f-38c0db998305,314.41,957.74,N-12
000ae63b-cb7b-4533-b66f-71d56e08677a,198.98,478.5,N-12
0013944f-bb0b-48dc-afe3-ed2a155233d5,912.41,828.61,N-12
0019e94a-8566-49c2-a988-0392d89758f9,361.0,195.3,N-12
001b688f-4eb0-4ecd-8e82-d5fa0161cd44,463.91,222.57,N-12
00254896-b8f5-406e-a295-43893b2040c2,501.75,272.96,N-12
00264d80-aba7-4573-99b1-42d2a8988ed9,766.15,471.13,N-12
002b52bb-9be7-4628-ab64-50d8a402f684,511.02,1102.3,N-12
002fa2f1-b4cb-4dae-8a05-624132d32ce5,725.38,346.42,N-12
002fb62b-d28a-4d01-b51c-acb00d3ff28b,303.1,445.58,N-12
00312005-f07a-4e85-975e-0e935032bca9,636.59,68.46,N-12
00349c96-9a08-4b3d-92ec-789cef4f82bc,462.66,439.1,N-12
0034b78f-97ca-4c92-914e-8490ba9a433f,639.17,493.28,N-12
003ad5a8-1c10-4d5a-8de6-efd3594c06f0,640.15,547.82,N-12
003b5caa-f9ac-4610-943f-aa6be0baee68,687.63,788.94,N-12
003c9e9d-3df8-4d27-9baa-85db02372933,956.11,932.46,N-12
0041cda7-03d8-44ca-80fd-76979881baf4,1032.0,959.55,N-12
0045c080-f939-467e-9873-e32389ce600b,412.31,269.72,N-12
00530091-7117-43a9-b3e9-1ee929a9b36b,397.36,1111.2,N-12
0060db0f-5f89-415f-bbcb-3644e9570f21,943.79,549.0,N-12
0063c027-ff8a-466a-b474-dfcb4f755ca4,787.13,189.69,N-12
006aaf7a-e3e2-4747-9988-8813ebb0f9d4,412.49,807.95,N-12
006fdde9-a404-4c1c-a66e-4fc95bee656c,561.85,986.08,N-12
0074f9ff-7820-4cbc-a0d9-21a4906fbffd,923.45,191.53,N-12
007abec8-be43-45f3-8f28-b2b68135d323,415.0,1118.5,N-12
007bea43-10dd-4aa3-a255-6f69e19cc33d,365.39,357.02,N-12
007c7308-222b-4b17-95ea-6048519a101e,989.14,921.51,N-12
00859e8a-ff69-4a82-912b-d6f83ff22563,1015.0,615.69,N-12
0087005c-b904-406d-87fc-9da8cfe50967,327.73,194.74,N-12
0088ed68-1417-42de-a212-33e7c43d74d3,555.96,689.91,N-12
009f5e02-1dd1-4649-88e8-8a82265cf0c6,539.12,1162.4,N-12
00a0a1be-74c5-41ed-829b-466985cf01fa,238.23,832.84,N-12
00a11522-b701-4585-a309-863e1d4cedbd,824.84,336.76,N-12
00a1cf7f-71e2-48b5-8ab1-bc9de8fcf8a6,438.82,615.15,N-12
00a501b4-e4aa-43ba-aa80-1875246e23d7,733.16,689.52,N-12
00aae35b-1239-4c5c-8369-a045d7c318d6,87.99,771.94,N-12
00acaae5-e499-45aa-9a4c-2b88bd36da35,568.63,629.23,N-12
00ad8e59-bd38-4872-8d18-fd8b3805fde1,523.91,1010.0,N-12
00b3998e-4cfe-4cf8-8213-7a3953091ca8,800.36,178.7,N-12
00b433b1-7b20-4072-8499-c4641f83bb33,212.98,464.44,N-12
00b478ad-5309-4e84-b766-b30929571ee3,848.28,496.64,N-12
00b5bd38-d11c-4c3e-8b61-7659ea6566b8,649.14,297.28,N-12
00b60b06-202d-481b-9cc9-4a6ac0275aee,1153.6,783.58,N-12
00b9e4ce-85ac-49b7-b10f-f559e895346f,670.38,783.31,N-12
00c799a3-189b-484e-9c81-1e2c655e12c3,809.79,1114.7,N-12
00cd380f-f4b8-46ef-ac2a-85d8bcde6d53,681.74,635.31,N-12
00d02b73-3a33-41d4-9635-2012ed231a25,592.43,773.21,N-12
00d4a52b-11f6-4002-8a63-3235f9637c2c,879.88,994.2,N-12
00d4f67e-96c9-43c6-b311-3379422838eb,388.63,781.12,N-12
00d633fd-3711-4cf0-a5b5-f470fd43546f,392.31,676.98,N-12
